Federal_Provider_Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Description,Deficiency Tag Number,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Location,Processing Date,,
465169,THATCHER BROOK REHABILITATION & CARE CENTER,1795 SOUTH CHELEMES WAY,CLEARFIELD,UT,84015,01/10/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs.",761,E,"Deficient, Provider has date of correction",03/01/2019 12:00:00 AM,2,true,false,"1795 SOUTH CHELEMES WAY CLEARFIELD, UT 84015 (41.087565, -112.017754)",04/01/2020 12:00:00 AM,,
46A070,CANYONLANDS CARE CENTER,390 WEST WILLIAMS WAY,MOAB,UT,84532,02/05/2019 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",812,E,"Deficient, Provider has date of correction",04/15/2019 12:00:00 AM,1,true,false,"390 WEST WILLIAMS WAY MOAB, UT 84532 (38.574334, -109.558229)",04/01/2020 12:00:00 AM,,
465173,STONEHENGE OF RICHFIELD,125 EAST 600 NORTH,RICHFIELD,UT,84701,03/22/2018 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Ensure therapeutic diets are prescribed by the attending physician and may be delegated to a registered or licensed dietitian, to the extent allowed by State law.",808,D,"Deficient, Provider has date of correction",06/01/2018 12:00:00 AM,2,true,true,"125 EAST 600 NORTH RICHFIELD, UT 84701 (38.776536, -112.083405)",04/01/2020 12:00:00 AM,,
465117,SOUTH OGDEN POST- ACUTE,5540 SOUTH 1050 EAST,OGDEN,UT,84405,01/29/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Provide care and assistance to perform activities of daily living for any resident who is unable.,677,D,"Deficient, Provider has date of correction",02/28/2018 12:00:00 AM,2,true,false,"5540 SOUTH 1050 EAST OGDEN, UT 84405 (41.162569, -111.952649)",04/01/2020 12:00:00 AM,,
465165,MISSION AT MAPLE SPRINGS,1010 SOUTH MEDICAL DRIVE,BRIGHAM,UT,84302,10/26/2017 12:00:00 AM,Health,false,Environmental Deficiencies,"Make sure that the nursing home area is safe, easy to use, clean and comfortable for residents, staff and the public.",465,E,"Deficient, Provider has date of correction",12/08/2017 12:00:00 AM,3,true,false,"1010 SOUTH MEDICAL DRIVE BRIGHAM, UT 84302 (41.489426, -112.025927)",04/01/2020 12:00:00 AM,,
465125,ROCKY MOUNTAIN CARE - COTTAGE ON VINE,835 EAST VINE STREET,MURRAY,UT,84107,01/08/2020 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",812,D,"Deficient, Provider has date of correction",02/27/2020 12:00:00 AM,1,true,false,"835 EAST VINE STREET MURRAY, UT 84107 (40.645038, -111.86852)",04/01/2020 12:00:00 AM,,
465156,AVALON CARE CENTER-BOUNTIFUL,523 NORTH MAIN STREET,BOUNTIFUL,UT,84010,03/21/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Provide enough food/fluids to maintain a resident's health.,692,D,"Deficient, Provider has date of correction",04/22/2019 12:00:00 AM,1,true,false,"523 NORTH MAIN STREET BOUNTIFUL, UT 84010 (40.894753, -111.879013)",04/01/2020 12:00:00 AM,,
465137,RED CLIFFS HEALTH AND REHAB,1745 EAST 280 NORTH,ST GEORGE,UT,84790,10/26/2017 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,Assess in a timely manner the resident when the resident enters the nursing home.,273,D,"Deficient, Provider has date of correction",12/13/2017 12:00:00 AM,3,true,false,"1745 EAST 280 NORTH ST GEORGE, UT 84790 (37.113132, -113.546401)",04/01/2020 12:00:00 AM,,
465178,STONEHENGE OF AMERICAN FORK,538 SOUTH 500 EAST,AMERICAN FORK,UT,84003,08/15/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,686,D,"Deficient, Provider has date of correction",10/01/2019 12:00:00 AM,1,true,false,"538 SOUTH 500 EAST AMERICAN FORK, UT 84003 (40.366507, -111.785464)",04/01/2020 12:00:00 AM,,
465144,SEASONS HEALTHCARE AND REHABILITATION,242 NORTH 200 WEST,ST GEORGE,UT,84770,04/11/2019 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,Ensure each resident receives and the facility provides food prepared in a form designed to meet individual needs.,805,E,"Deficient, Provider has date of correction",05/24/2019 12:00:00 AM,1,true,false,"242 NORTH 200 WEST ST GEORGE, UT 84770 (37.112209, -113.587509)",04/01/2020 12:00:00 AM,,
465146,AVALON VALLEY REHABILITATION,2472 SOUTH 300 EAST,SALT LAKE CITY,UT,84115,11/26/2019 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Timely report suspected abuse, neglect, or theft and report the results of the investigation to proper authorities.",609,F,"Deficient, Provider has date of correction",01/17/2020 12:00:00 AM,1,true,true,"2472 SOUTH 300 EAST SALT LAKE CITY, UT 84115 (40.717553, -111.882612)",04/01/2020 12:00:00 AM,,
46A071,"LOMOND PEAK NURSING AND REHABILITATION, LLC",524 EAST 800 NORTH,OGDEN,UT,84404,11/15/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,689,G,"Deficient, Provider has date of correction",01/04/2019 12:00:00 AM,3,true,true,"524 EAST 800 NORTH OGDEN, UT 84404 (41.272092, -111.966274)",04/01/2020 12:00:00 AM,,
465149,BROOKDALE SALT LAKE CITY SNF,76 SOUTH 500 EAST,SALT LAKE CITY,UT,84102,12/11/2017 12:00:00 AM,Health,false,Nursing and Physician Services Deficiencies,Provide enough nursing staff every day to meet the needs of every resident, and have a licensed nurse in charge on each shift.,725,E,"Deficient, Provider has date of correction",01/31/2018 12:00:00 AM,2,true,false,"76 SOUTH 500 EAST SALT LAKE CITY, UT 84102 (40.767657, -111.876785)",04/01/2020 12:00:00 AM,
465124,MIDTOWN MANOR,125 SOUTH 900 WEST,SALT LAKE CITY,UT,84104,03/29/2017 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Maintain drug records and properly mark/label drugs and other similar products according to accepted professional standards.,431,E,"Deficient, Provider has date of correction",05/30/2017 12:00:00 AM,3,true,false,"125 SOUTH 900 WEST SALT LAKE CITY, UT 84104 (40.76653, -111.916822)",04/01/2020 12:00:00 AM,,
46A071,"LOMOND PEAK NURSING AND REHABILITATION, LLC",524 EAST 800 NORTH,OGDEN,UT,84404,03/20/2019 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,842,D,"Deficient, Provider has date of correction",05/01/2019 12:00:00 AM,3,true,false,"524 EAST 800 NORTH OGDEN, UT 84404 (41.272092, -111.966274)",04/01/2020 12:00:00 AM,,
465185,"MILLCREEK REHABILITATION AND NURSING, LLC",3520 SOUTH HIGHLAND DRIVE,SALT LAKE CITY,UT,84106,05/14/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Provide care and assistance to perform activities of daily living for any resident who is unable.,677,D,"Deficient, Provider has date of correction",06/17/2019 12:00:00 AM,1,true,false,,04/01/2020 12:00:00 AM,,
465178,STONEHENGE OF AMERICAN FORK,538 SOUTH 500 EAST,AMERICAN FORK,UT,84003,03/29/2017 12:00:00 AM,Health,false,Administration Deficiencies,"Keep accurate, complete and organized clinical records on each resident that meet professional standards.",514,E,"Deficient, Provider has date of correction",05/26/2017 12:00:00 AM,3,true,false,"538 SOUTH 500 EAST AMERICAN FORK, UT 84003 (40.366507, -111.785464)",04/01/2020 12:00:00 AM,,
465146,AVALON VALLEY REHABILITATION,2472 SOUTH 300 EAST,SALT LAKE CITY,UT,84115,11/26/2019 12:00:00 AM,Health,false,Environmental Deficiencies,Provide and implement an infection prevention and control program.,880,E,"Deficient, Provider has date of correction",01/17/2020 12:00:00 AM,1,true,false,"2472 SOUTH 300 EAST SALT LAKE CITY, UT 84115 (40.717553, -111.882612)",04/01/2020 12:00:00 AM,,
465153,STONEHENGE OF CEDAR CITY,333 WEST 1425 NORTH,CEDAR CITY,UT,84721,09/11/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,689,G,"Deficient, Provider has date of correction",11/01/2019 12:00:00 AM,1,true,false,"333 WEST 1425 NORTH CEDAR CITY, UT 84721 (37.703008, -113.067892)",04/01/2020 12:00:00 AM,,
465157,MILLARD COUNTY CARE AND REHABILITATION,150 SOUTH WHITE SAGE AVENUE,DELTA,UT,84624,08/31/2017 12:00:00 AM,Health,false,Administration Deficiencies,"Keep accurate, complete and organized clinical records on each resident that meet professional standards.",514,E,"Deficient, Provider has date of correction",11/13/2017 12:00:00 AM,3,true,false,"150 SOUTH WHITE SAGE AVENUE DELTA, UT 84624 (39.349923, -112.560183)",04/01/2020 12:00:00 AM,,
465152,BELLA TERRA ST GEORGE,178 SOUTH 1200 EAST,ST GEORGE,UT,84790,11/21/2019 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",812,F,"Deficient, Provider has date of correction",01/07/2020 12:00:00 AM,1,true,false,"178 SOUTH 1200 EAST ST GEORGE, UT 84790 (37.105013, -113.557846)",04/01/2020 12:00:00 AM,,
46A070,CANYONLANDS CARE CENTER,390 WEST WILLIAMS WAY,MOAB,UT,84532,02/05/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure each resident�s drug regimen must be free from unnecessary drugs.,757,D,"Deficient, Provider has date of correction",04/15/2019 12:00:00 AM,1,true,false,"390 WEST WILLIAMS WAY MOAB, UT 84532 (38.574334, -109.558229)",04/01/2020 12:00:00 AM,,
465147,ROCKY MOUNTAIN CARE - THE LODGE,544 EAST 1200 SOUTH,HEBER CITY,UT,84032,09/27/2018 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Employ sufficient staff with the appropriate competencies and skills sets to carry out the functions of the food and nutrition service, including a qualified dietician.",801,D,"Deficient, Provider has date of correction",10/15/2018 12:00:00 AM,2,true,false,"544 EAST 1200 SOUTH HEBER CITY, UT 84032 (40.49279, -111.403588)",04/01/2020 12:00:00 AM,,
465158,MEADOW BROOK REHABILITATION AND NURSING,433 EAST 2700 SOUTH,SALT LAKE CITY,UT,84115,11/29/2018 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",812,F,"Deficient, Provider has date of correction",01/25/2019 12:00:00 AM,2,true,false,"433 EAST 2700 SOUTH SALT LAKE CITY, UT 84115 (40.712647, -111.878885)",04/01/2020 12:00:00 AM,,
465175,MISSION AT COMMUNITY LIVING REHABILITATION CENTER,10 WEST 400 SOUTH,CENTERFIELD,UT,84622,10/23/2019 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,842,D,"Deficient, Provider has date of correction",12/02/2019 12:00:00 AM,1,true,false,"10 WEST 400 SOUTH CENTERFIELD, UT 84622 (39.119065, -111.821984)",04/01/2020 12:00:00 AM,,
46A072,GARFIELD COUNTY NURSING HOME,200 NORTH 450 EAST,PANGUITCH,UT,84759,06/07/2018 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Timely report suspected abuse, neglect, or theft and report the results of the investigation to proper authorities.",609,D,"Deficient, Provider has date of correction",08/04/2018 12:00:00 AM,2,true,false,"200 NORTH 450 EAST PANGUITCH, UT 84759 (38.635339, -112.110461)",04/01/2020 12:00:00 AM,,
465124,MIDTOWN MANOR,125 SOUTH 900 WEST,SALT LAKE CITY,UT,84104,03/29/2017 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,Assure that each resident�s assessment is updated at least once every 3 months.,276,D,"Deficient, Provider has date of correction",05/30/2017 12:00:00 AM,3,true,false,"125 SOUTH 900 WEST SALT LAKE CITY, UT 84104 (40.76653, -111.916822)",04/01/2020 12:00:00 AM,,
465147,ROCKY MOUNTAIN CARE - THE LODGE,544 EAST 1200 SOUTH,HEBER CITY,UT,84032,10/15/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Provide care and assistance to perform activities of daily living for any resident who is unable.,677,D,"Deficient, Provider has date of correction",11/22/2019 12:00:00 AM,1,true,false,"544 EAST 1200 SOUTH HEBER CITY, UT 84032 (40.49279, -111.403588)",04/01/2020 12:00:00 AM,,
465152,BELLA TERRA ST GEORGE,178 SOUTH 1200 EAST,ST GEORGE,UT,84790,07/13/2017 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that each resident's 1) entire drug/medication regimen is free from unnecessary drugs, and 2) is managed and monitored to achieve highest level of well-being.,329,E,"Deficient, Provider has date of correction",09/22/2017 12:00:00 AM,3,true,true,"178 SOUTH 1200 EAST ST GEORGE, UT 84790 (37.105013, -113.557846)",04/01/2020 12:00:00 AM,
46A071,"LOMOND PEAK NURSING AND REHABILITATION, LLC",524 EAST 800 NORTH,OGDEN,UT,84404,11/15/2018 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",656,E,"Deficient, Provider has date of correction",01/04/2019 12:00:00 AM,3,true,true,"524 EAST 800 NORTH OGDEN, UT 84404 (41.272092, -111.966274)",04/01/2020 12:00:00 AM,,
